Tenant,Group,Same,Chosen,Score
,,,,
Fiege,673.0,1.0,1.0,100.0
Fiege HealthCare Logistics GmbH,673.0,0.0,0.0,100.0
Fiege Logistik Stiftung & Co. KG,673.0,0.0,0.0,100.0
Fiege ft. Inditex Zara,673.0,0.0,0.0,100.0
Fiege ft. Zalando,673.0,0.0,0.0,100.0
,,,,
Fiege HealthCare Logistics GmbH,674.0,1.0,1.0,100.0
GIST,674.0,0.0,0.0,100.0
Geologistics,674.0,0.0,0.0,86.96
Gist,674.0,0.0,0.0,100.0
Gruber Logistics,674.0,0.0,0.0,85.71
ID LOGISTICS,674.0,0.0,0.0,90.91
ID Logistics,674.0,0.0,0.0,90.91
ITC Logistics,674.0,0.0,0.0,86.96
Id Logistics,674.0,0.0,0.0,90.91
JS LOGISTICS,674.0,0.0,0.0,90.91
L4 Logistics,674.0,0.0,0.0,90.91
LOGISTA,674.0,0.0,0.0,85.71
LOGISTICA,674.0,0.0,0.0,88.89
Logista,674.0,0.0,0.0,85.71
Mas Logistic,674.0,0.0,0.0,85.71
PR Logistics,674.0,0.0,0.0,85.71
RS Logistica,674.0,0.0,0.0,85.71
Realogistic,674.0,0.0,0.0,90.91
Reslogistics,674.0,0.0,0.0,91.67
SPI LOGISTIC,674.0,0.0,0.0,85.71
STI,674.0,0.0,0.0,100.0
,,,,
Fiege Logistik Stiftung & Co. KG,675.0,1.0,1.0,100.0
GIST,675.0,0.0,0.0,100.0
Gist,675.0,0.0,0.0,100.0
LOGISTA,675.0,0.0,0.0,85.71
Logista,675.0,0.0,0.0,85.71
Logistika,675.0,0.0,0.0,88.89
SPI LOGISTIC,675.0,0.0,0.0,83.33
STI,675.0,0.0,0.0,100.0
STI Logistics,675.0,0.0,0.0,84.62
,,,,
Fiege ft. Zalando,676.0,1.0,1.0,100.0
Land,676.0,0.0,0.0,100.0
Zalando,676.0,0.0,0.0,100.0
,,,,
"Filiprod - Produtos Químicos de Manutenção, Lda",677.0,1.0,1.0,100.0
L @ D,677.0,0.0,0.0,100.0
,,,,
First Express Ltd. T/A Nightline,678.0,1.0,1.0,100.0
Fresh Express,678.0,0.0,0.0,84.62
,,,,
Fisc Limited,679.0,1.0,1.0,100.0
Gardiner Bros. and Company (Leathers) Limited,679.0,0.0,0.0,85.71
Gatwick Airport Limited,679.0,0.0,0.0,86.96
HPAS Limited.,679.0,0.0,0.0,85.71
Halfords Autocentres Limited,679.0,0.0,0.0,85.71
Hardisty CRN Limited.,679.0,0.0,0.0,83.33
Hills Numberplates Limited,679.0,0.0,0.0,83.33
Homechoice Carpets (St Helens) Limited,679.0,0.0,0.0,83.33
Hovis Limited,679.0,0.0,0.0,90.91
Hydraquip Hose & Hydraulics Limited,679.0,0.0,0.0,86.96
Jarvis Training Management Limited,679.0,0.0,0.0,83.33
Jestic Limited,679.0,0.0,0.0,90.91
KPNI Limited,679.0,0.0,0.0,85.71
Kammac Limited,679.0,0.0,0.0,85.71
Kratos Communications Limited,679.0,0.0,0.0,85.71
Lifeplus Europe Limited,679.0,0.0,0.0,85.71
Luso Electronic Products Limited,679.0,0.0,0.0,83.33
Midlands Electricty Limited,679.0,0.0,0.0,83.33
NIC ICE Limited,679.0,0.0,0.0,86.96
North Cheshire Holdings Limited.,679.0,0.0,0.0,83.33
PPG Architectural Coatings UK Limited,679.0,0.0,0.0,83.33
Pressure Hydraulics Cork Limited,679.0,0.0,0.0,83.33
S MacDonald Commerical Services Limited,679.0,0.0,0.0,83.33
Savano Blinds Limited,679.0,0.0,0.0,83.33
Schneider Electric Limited,679.0,0.0,0.0,83.33
Susan Arnold Interiors Limited,679.0,0.0,0.0,83.33
T.F. Tull Limited,679.0,0.0,0.0,85.71
TEDI,679.0,0.0,0.0,85.71
Taff's Motor-Fix Limited,679.0,0.0,0.0,86.96
Tarpey-Harris Limited,679.0,0.0,0.0,83.33
UK Electrical Wholesale (Chelmsford) Limited,679.0,0.0,0.0,83.33
Westinghouse Electric Company UK Limited,679.0,0.0,0.0,83.33
Wincanton Holdings Limited,679.0,0.0,0.0,83.33
,,,,
Fisher Bio Services,680.0,1.0,1.0,100.0
SD SERVICES,680.0,0.0,0.0,90.0
,,,,
Fitrite Fencing & Decking Limited,681.0,1.0,1.0,100.0
NC,681.0,0.0,0.0,100.0
TEDI,681.0,0.0,0.0,85.71
,,,,
Flay Logistic,682.0,1.0,1.0,100.0
Fox Global Logistics,682.0,0.0,0.0,83.33
GIST,682.0,0.0,0.0,100.0
Gist,682.0,0.0,0.0,100.0
ID LOGISTICS,682.0,0.0,0.0,85.71
ID Logistics,682.0,0.0,0.0,85.71
Id Logistics,682.0,0.0,0.0,85.71
JS LOGISTICS,682.0,0.0,0.0,85.71
L4 Logistics,682.0,0.0,0.0,85.71
LOGISTA,682.0,0.0,0.0,85.71
LOGISTICA,682.0,0.0,0.0,94.12
Logista,682.0,0.0,0.0,85.71
Logistica 93,682.0,0.0,0.0,85.71
Realogistic,682.0,0.0,0.0,84.21
Rohlig SUUS Logistics S.A.,682.0,0.0,0.0,86.96
SPI LOGISTICS (l'Oreal),682.0,0.0,0.0,86.96
STI,682.0,0.0,0.0,100.0
Stock House Logistica Italia,682.0,0.0,0.0,84.62
Zanardo Servizi Logistici S.p.a.,682.0,0.0,0.0,86.96
,,,,
Florian T Express,683.0,1.0,1.0,100.0
GLOBE EXPRESS,683.0,0.0,0.0,83.33
One-Express,683.0,0.0,0.0,84.21
Tnt Express,683.0,0.0,0.0,84.21
,,,,
Fluidpower Group Services UK Limited,684.0,1.0,1.0,100.0
SD SERVICES,684.0,0.0,0.0,90.91
,,,,
Food Impact,685.0,1.0,1.0,100.0
Mi Food,685.0,0.0,0.0,92.31
,,,,
Food Innovations,686.0,1.0,1.0,100.0
Mi Food,686.0,0.0,0.0,92.31
,,,,
Foodex Belgium,687.0,1.0,1.0,100.0
MiFood,687.0,0.0,0.0,83.33
,,,,
Foppiani,688.0,1.0,1.0,100.0
Peviani,688.0,0.0,0.0,83.33
,,,,
Ford Retail Limited,689.0,1.0,1.0,100.0
L @ D,689.0,0.0,0.0,100.0
iForce Limited,689.0,0.0,0.0,84.62
,,,,
Forever Living Products (U.K.) Limited,690.0,1.0,1.0,100.0
L @ D,690.0,0.0,0.0,100.0
,,,,
Formula Servizi (Notino),691.0,1.0,1.0,100.0
N.a.,691.0,0.0,0.0,100.0
Notino,691.0,0.0,0.0,100.0
n.a.,691.0,0.0,0.0,100.0
,,,,
Foster,692.0,1.0,1.0,100.0
JC DECAUX ADVERTISING POSTER,692.0,0.0,0.0,90.91
,,,,
Fox Global Logistics,693.0,1.0,1.0,100.0
GIST,693.0,0.0,0.0,100.0
Geologistics,693.0,0.0,0.0,85.71
Gist,693.0,0.0,0.0,100.0
ID LOGISTICS,693.0,0.0,0.0,90.91
ID Logistics,693.0,0.0,0.0,90.91
ITC Logistics,693.0,0.0,0.0,86.96
Id Logistics,693.0,0.0,0.0,90.91
JS LOGISTICS,693.0,0.0,0.0,90.91
L4 Logistics,693.0,0.0,0.0,95.65
LOGISTA,693.0,0.0,0.0,85.71
LOGISTICA,693.0,0.0,0.0,88.89
Logista,693.0,0.0,0.0,85.71
Mas Logistic,693.0,0.0,0.0,85.71
PR Logistics,693.0,0.0,0.0,85.71
RS Logistica,693.0,0.0,0.0,85.71
Reslogistics,693.0,0.0,0.0,85.71
SPI LOGISTIC,693.0,0.0,0.0,85.71
STI,693.0,0.0,0.0,100.0
,,,,
Fragrance Shop,694.0,1.0,1.0,100.0
Hopi,694.0,0.0,0.0,85.71
NC,694.0,0.0,0.0,100.0
,,,,
France Boissons,695.0,1.0,1.0,100.0
NC,695.0,0.0,0.0,100.0
SAFRAN,695.0,0.0,0.0,83.33
,,,,
France MANCHE,696.0,1.0,1.0,100.0
MH FRANCE,696.0,0.0,0.0,94.12
Mainfreight France,696.0,0.0,0.0,83.33
NC,696.0,0.0,0.0,100.0
SCHENKER FRANCE,696.0,0.0,0.0,83.33
,,,,
Franco Vago,697.0,1.0,1.0,100.0
NC,697.0,0.0,0.0,100.0
,,,,
Frank Jones T/A Fulwood Services,698.0,1.0,1.0,100.0
SAFRAN,698.0,0.0,0.0,83.33
SD SERVICES,698.0,0.0,0.0,90.91
,,,,
Fredriks Schakt & Trädgårdsanläggning,699.0,1.0,1.0,100.0
Rds,699.0,0.0,0.0,100.0
,,,,
Freight Handling Logistic,700.0,1.0,1.0,100.0
GDN Logistica,700.0,0.0,0.0,86.96
GIST,700.0,0.0,0.0,100.0
Gist,700.0,0.0,0.0,100.0
ID LOGISTICS,700.0,0.0,0.0,85.71
ID Logistics,700.0,0.0,0.0,85.71
Id Logistics,700.0,0.0,0.0,85.71
JS LOGISTICS,700.0,0.0,0.0,85.71
L4 Logistics,700.0,0.0,0.0,85.71
LOGISTA,700.0,0.0,0.0,85.71
LOGISTICA,700.0,0.0,0.0,94.12
Logista,700.0,0.0,0.0,85.71
Logistica 93,700.0,0.0,0.0,85.71
Realogistic,700.0,0.0,0.0,84.21
STI,700.0,0.0,0.0,100.0
,,,,
Freixenet,701.0,1.0,1.0,100.0
Next,701.0,0.0,0.0,85.71
,,,,
Fresenius,702.0,1.0,1.0,100.0
Gennius,702.0,0.0,0.0,83.33
,,,,
Fresh Express,703.0,1.0,1.0,100.0
"GES LOGISTICS GLOBE 
EXPRESS SERVICES 
LOGISTICS",703.0,0.0,0.0,83.33
One-Express,703.0,0.0,0.0,84.21
Tnt Express,703.0,0.0,0.0,84.21
,,,,
Fresh Tropical,704.0,1.0,1.0,100.0
Tropical Marine Centre Ltd,704.0,0.0,0.0,83.33
,,,,
Freshline Service Group AB,705.0,1.0,1.0,100.0
ITCE,705.0,0.0,0.0,85.71
NS GROUP,705.0,0.0,0.0,87.5
SD SERVICES,705.0,0.0,0.0,84.21
,,,,
Fridge Spares Wholesale Ltd,706.0,1.0,1.0,100.0
Spar,706.0,0.0,0.0,100.0
,,,,
"Frigodia - Transportes e Logística, Lda.",707.0,1.0,1.0,100.0
GK TRANSPORT,707.0,0.0,0.0,83.33
ID Transport,707.0,0.0,0.0,83.33
LOGISTICA,707.0,0.0,0.0,88.89
MPW TRANSPORTS,707.0,0.0,0.0,84.62
Portwest,707.0,0.0,0.0,85.71
RS Logistica,707.0,0.0,0.0,83.33
STI,707.0,0.0,0.0,100.0
TRANSPORTS SF,707.0,0.0,0.0,88.0
TRANSPORTS TDR,707.0,0.0,0.0,84.62
,,,,
Frigologistics,708.0,1.0,1.0,100.0
GIST,708.0,0.0,0.0,100.0
Geologistics,708.0,0.0,0.0,95.65
Gist,708.0,0.0,0.0,100.0
ID LOGISTICS,708.0,0.0,0.0,85.71
ID Logistics,708.0,0.0,0.0,85.71
Id Logistics,708.0,0.0,0.0,85.71
JS LOGISTICS,708.0,0.0,0.0,85.71
L4 Logistics,708.0,0.0,0.0,85.71
LOGISTA,708.0,0.0,0.0,85.71
LOGISTICA,708.0,0.0,0.0,88.89
Logista,708.0,0.0,0.0,85.71
Mas Logistic,708.0,0.0,0.0,85.71
Multilogistics,708.0,0.0,0.0,83.33
PR Logistics,708.0,0.0,0.0,85.71
RS Logistica,708.0,0.0,0.0,85.71
Reslogistics,708.0,0.0,0.0,85.71
SPI LOGISTIC,708.0,0.0,0.0,85.71
STI,708.0,0.0,0.0,100.0
,,,,
Frost Service,709.0,1.0,1.0,100.0
ITCE,709.0,0.0,0.0,85.71
SD SERVICES,709.0,0.0,0.0,85.71
,,,,
Fuel Shakes Limited.,710.0,1.0,1.0,100.0
SAF Limited,710.0,0.0,0.0,90.91
,,,,
Fujitsu Services Ltd,711.0,1.0,1.0,100.0
JDMAC Services Ltd,711.0,0.0,0.0,83.87
SD SERVICES,711.0,0.0,0.0,95.24
,,,,
Furniture Village Limited,712.0,1.0,1.0,100.0
Village Gates Limited,712.0,0.0,0.0,89.47
Village Gates Limited.,712.0,0.0,0.0,89.47
,,,,
G & O Group AB,713.0,1.0,1.0,100.0
Svenska Mälardalen Group AB,713.0,0.0,0.0,85.71
Synsam Group Sweden AB,713.0,0.0,0.0,85.71
,,,,
G. van Doesburg Int. Transport,714.0,1.0,1.0,100.0
GK TRANSPORT,714.0,0.0,0.0,83.33
ID Transport,714.0,0.0,0.0,83.33
Vir Transport,714.0,0.0,0.0,84.62
,,,,
G.R.F Engineering Limited,715.0,1.0,1.0,100.0
Kering,715.0,0.0,0.0,83.33
Niro Engineering Limited,715.0,0.0,0.0,83.33
,,,,
GAMBLIN (TRANSPORT),716.0,1.0,1.0,100.0
GK TRANSPORT,716.0,0.0,0.0,90.91
ID Transport,716.0,0.0,0.0,91.67
MPW TRANSPORTS,716.0,0.0,0.0,83.33
TRANSPORTS ALAINE,716.0,0.0,0.0,86.67
TRANSPORTS GELIN,716.0,0.0,0.0,89.66
TRANSPORTS SF,716.0,0.0,0.0,86.96
TRANSPORTS TDR,716.0,0.0,0.0,83.33
,,,,
GARAGE MANNES,717.0,1.0,1.0,100.0
Unes,717.0,0.0,0.0,85.71
,,,,
GARNIER LOGISTIQUE,718.0,1.0,1.0,100.0
GIST,718.0,0.0,0.0,100.0
Gist,718.0,0.0,0.0,100.0
ICP LOGISTIQUE,718.0,0.0,0.0,88.0
LOGISTA,718.0,0.0,0.0,85.71
LOGISTIQUE ALAINE,718.0,0.0,0.0,83.87
Logista,718.0,0.0,0.0,85.71
RT LOGISTIQUE,718.0,0.0,0.0,86.96
SED LOGISTIQUE,718.0,0.0,0.0,83.33
STI,718.0,0.0,0.0,100.0
,,,,
GCA SUPPLY LOGISTICS,719.0,1.0,1.0,100.0
GIST,719.0,0.0,0.0,100.0
Gist,719.0,0.0,0.0,100.0
ID LOGISTICS,719.0,0.0,0.0,83.33
ID Logistics,719.0,0.0,0.0,83.33
ITC Logistics,719.0,0.0,0.0,84.62
Id Logistics,719.0,0.0,0.0,83.33
JS LOGISTICS,719.0,0.0,0.0,83.33
L4 Logistics,719.0,0.0,0.0,83.33
LOGISTA,719.0,0.0,0.0,85.71
LOGISTICA,719.0,0.0,0.0,88.89
Logista,719.0,0.0,0.0,85.71
MAS Logistics,719.0,0.0,0.0,84.62
MTS Logistics,719.0,0.0,0.0,84.62
Mas Logistic,719.0,0.0,0.0,83.33
POD Logistics,719.0,0.0,0.0,84.62
PR Logistics,719.0,0.0,0.0,83.33
RS Logistica,719.0,0.0,0.0,83.33
SDA Logistics,719.0,0.0,0.0,84.62
SPI LOGISTIC,719.0,0.0,0.0,83.33
STI,719.0,0.0,0.0,100.0
STI Logistics,719.0,0.0,0.0,84.62
XPO LOGISTICS,719.0,0.0,0.0,84.62
XPO Logistics,719.0,0.0,0.0,84.62
,,,,
GCA SUPPLY PACKING,720.0,1.0,1.0,100.0
Parking,720.0,0.0,0.0,85.71
,,,,
GDL Anläggning & Miljö AB,721.0,1.0,1.0,100.0
PEAB Anläggning AB,721.0,0.0,0.0,87.5
,,,,
GDN Logistica,722.0,1.0,1.0,100.0
GIST,722.0,0.0,0.0,100.0
Geodis Contract Logistics United Kingdom,722.0,0.0,0.0,84.62
Gist,722.0,0.0,0.0,100.0
ID LOGISTICS,722.0,0.0,0.0,83.33
ID LOGISTICS (Castorama),722.0,0.0,0.0,83.33
ID LOGISTICS / COURIR,722.0,0.0,0.0,83.33
ID Logistics,722.0,0.0,0.0,83.33
Id Logistics,722.0,0.0,0.0,83.33
Improving Logistica,722.0,0.0,0.0,91.67
LOGISTA,722.0,0.0,0.0,85.71
LOGISTICA,722.0,0.0,0.0,100.0
Logista,722.0,0.0,0.0,85.71
Logistica 93,722.0,0.0,0.0,90.91
Logistika,722.0,0.0,0.0,88.89
Mas Logistic,722.0,0.0,0.0,85.71
RS Logistica,722.0,0.0,0.0,85.71
STI,722.0,0.0,0.0,100.0
Vision Logistical Solutions Limited,722.0,0.0,0.0,84.62
,,,,
GE Aviation / Dowty Properllers,723.0,1.0,1.0,100.0
Havi,723.0,0.0,0.0,85.71
,,,,
GEALAN,724.0,1.0,1.0,100.0
Gealan,724.0,0.0,0.0,100.0
Land,724.0,0.0,0.0,85.71
,,,,
GEBO,725.0,1.0,1.0,100.0
GEODIS,725.0,0.0,0.0,85.71
Gebr. Vos Wegtransportonderneming,725.0,0.0,0.0,85.71
Geodis,725.0,0.0,0.0,85.71
Geologistics,725.0,0.0,0.0,85.71
Geos Trasporti,725.0,0.0,0.0,85.71
,,,,
GECODIS,726.0,1.0,1.0,100.0
GEFCO,726.0,0.0,0.0,88.89
GEODIS,726.0,0.0,0.0,83.33
GEODIS CALBERSON,726.0,0.0,0.0,92.31
Gefco,726.0,0.0,0.0,88.89
Geodis,726.0,0.0,0.0,83.33
Geodis Contract Logistics United Kingdom,726.0,0.0,0.0,85.71
Geodis D&E Mediterranee,726.0,0.0,0.0,85.71
Geodis Logistics S.p.a.,726.0,0.0,0.0,85.71
Geodis and UPS,726.0,0.0,0.0,85.71
Geodis ft. Amazon XL,726.0,0.0,0.0,85.71
Geodis ft. Conad,726.0,0.0,0.0,92.31
,,,,
GEFCO,727.0,1.0,1.0,100.0
Gefco,727.0,0.0,0.0,100.0
,,,,
GEODIS,728.0,1.0,1.0,100.0
GEODIS CALBERSON,728.0,0.0,0.0,100.0
GIRARD AGEDISS,728.0,0.0,0.0,83.33
Geodis,728.0,0.0,0.0,100.0
Geodis Contract Logistics United Kingdom,728.0,0.0,0.0,100.0
Geodis D&E Mediterranee,728.0,0.0,0.0,100.0
Geodis Logistics S.p.a.,728.0,0.0,0.0,100.0
Geodis and UPS,728.0,0.0,0.0,100.0
Geodis ft. Amazon XL,728.0,0.0,0.0,100.0
Geodis ft. Conad,728.0,0.0,0.0,100.0
Girard Agediss,728.0,0.0,0.0,83.33
Géodis,728.0,0.0,0.0,83.33
Prelodis (Grand frais),728.0,0.0,0.0,83.33
,,,,
GEODIS CALBERSON,729.0,1.0,1.0,100.0
Geodis,729.0,0.0,0.0,100.0
Géodis,729.0,0.0,0.0,83.33
,,,,
"GES LOGISTICS GLOBE 
EXPRESS SERVICES 
LOGISTICS",730.0,1.0,1.0,100.0
GIST,730.0,0.0,0.0,100.0
GLOBE EXPRESS,730.0,0.0,0.0,86.96
Geologistics,730.0,0.0,0.0,83.33
Gist,730.0,0.0,0.0,100.0
ID LOGISTICS,730.0,0.0,0.0,83.33
ID Logistics,730.0,0.0,0.0,83.33
ITC Logistics,730.0,0.0,0.0,92.31
Id Logistics,730.0,0.0,0.0,83.33
JS LOGISTICS,730.0,0.0,0.0,91.67
L4 Logistics,730.0,0.0,0.0,83.33
LOG'S - GLOBE,730.0,0.0,0.0,90.91
LOGISTA,730.0,0.0,0.0,85.71
LOGISTICA,730.0,0.0,0.0,88.89
Logista,730.0,0.0,0.0,85.71
MAS Logistics,730.0,0.0,0.0,84.62
MTS Logistics,730.0,0.0,0.0,84.62
Mas Logistic,730.0,0.0,0.0,83.33
One-Express,730.0,0.0,0.0,85.71
Otif Logistics,730.0,0.0,0.0,85.71
POD Logistics,730.0,0.0,0.0,84.62
PR Logistics,730.0,0.0,0.0,83.33
RS Logistica,730.0,0.0,0.0,83.33
Reslogistics,730.0,0.0,0.0,83.33
SD SERVICES,730.0,0.0,0.0,95.24
SDA Logistics,730.0,0.0,0.0,84.62
SEKO Logistics,730.0,0.0,0.0,85.71
SESE Logistics,730.0,0.0,0.0,85.71
SPI LOGISTIC,730.0,0.0,0.0,83.33
STI,730.0,0.0,0.0,100.0
STI Logistics,730.0,0.0,0.0,84.62
Scerni Logistics,730.0,0.0,0.0,87.5
Tnt Express,730.0,0.0,0.0,84.21
XPO LOGISTICS,730.0,0.0,0.0,84.62
XPO Logistics,730.0,0.0,0.0,84.62
,,,,
GETEC Service GmbH,731.0,1.0,1.0,100.0
Getex,731.0,0.0,0.0,88.89
ITCE,731.0,0.0,0.0,85.71
SD SERVICES,731.0,0.0,0.0,84.21
STUTE Aftermarket Services GmbH,731.0,0.0,0.0,83.33
kd-services GmbH,731.0,0.0,0.0,85.71
,,,,
GIFI,732.0,1.0,1.0,100.0
GIFI DIFFUSION,732.0,0.0,0.0,100.0
Gifi,732.0,0.0,0.0,100.0
,,,,
GIFI DIFFUSION,733.0,1.0,1.0,100.0
Gifi,733.0,0.0,0.0,100.0
LITT DIFFUSION,733.0,0.0,0.0,84.62
SUNCLEAR DIFFUSION,733.0,0.0,0.0,83.33
,,,,
GIMA Trans,734.0,1.0,1.0,100.0
IMA,734.0,0.0,0.0,100.0
,,,,
GIRARD AGEDISS,735.0,1.0,1.0,100.0
Geodis,735.0,0.0,0.0,83.33
Girard Agediss,735.0,0.0,0.0,100.0
,,,,
GIST,736.0,1.0,1.0,100.0
GXO LOGISTICS France,736.0,0.0,0.0,100.0
GXO Logistics Drinks Ltd,736.0,0.0,0.0,100.0
GXO Logistics UK Limited,736.0,0.0,0.0,100.0
Geodis Contract Logistics United Kingdom,736.0,0.0,0.0,100.0
Geodis Logistics S.p.a.,736.0,0.0,0.0,100.0
Geologistics,736.0,0.0,0.0,100.0
Gist,736.0,0.0,0.0,100.0
Gruber Logistics,736.0,0.0,0.0,100.0
Grupo Antolin Logistik Deutschland GmbH,736.0,0.0,0.0,100.0
Gvt Transport & Logistics,736.0,0.0,0.0,100.0
H.Essers Logistics Company N.V. Unit 1,736.0,0.0,0.0,100.0
H.Essers Logistics Company N.V. Unit 2,736.0,0.0,0.0,100.0
H.Essers Logistics Company N.V. Unit 3,736.0,0.0,0.0,100.0
Haase Hausgerätelogistik GmbH,736.0,0.0,0.0,100.0
Havi Logistics S.r.l.,736.0,0.0,0.0,100.0
Hawkins Logistics Ltd,736.0,0.0,0.0,100.0
Hellmann Worldwide Logistics Limited,736.0,0.0,0.0,100.0
Hutch Logistics Ltd,736.0,0.0,0.0,100.0
ICP LOGISTIQUE,736.0,0.0,0.0,100.0
ID LOGISTICS,736.0,0.0,0.0,100.0
ID LOGISTICS (Castorama),736.0,0.0,0.0,100.0
ID LOGISTICS / COURIR,736.0,0.0,0.0,100.0
ID Logistics,736.0,0.0,0.0,100.0
ID Logistics (Makro) / Mercadona frio,736.0,0.0,0.0,100.0
ID Logistics Selective 8,736.0,0.0,0.0,100.0
ITC Logistics,736.0,0.0,0.0,100.0
Id Logistics,736.0,0.0,0.0,100.0
Improving Logistica,736.0,0.0,0.0,100.0
Inter Logistic Europe SAS,736.0,0.0,0.0,100.0
"Internationale Lagerlogistik Systeme, SL",736.0,0.0,0.0,100.0
JS LOGISTICS,736.0,0.0,0.0,100.0
K&M Euro Logistics GmbH & Co. KG,736.0,0.0,0.0,100.0
L4 Logistics,736.0,0.0,0.0,100.0
LE ROY LOGISTIQUE,736.0,0.0,0.0,100.0
LOG'S - GOAL LOGISTIQUE,736.0,0.0,0.0,100.0
LOGISTA,736.0,0.0,0.0,100.0
LOGISTICA,736.0,0.0,0.0,100.0
LOGISTICS OPERATIONS,736.0,0.0,0.0,100.0
LOGISTIQUE ALAINE,736.0,0.0,0.0,100.0
Le Roy Logistique,736.0,0.0,0.0,100.0
Le Roy Logistique SAS,736.0,0.0,0.0,100.0
Logista,736.0,0.0,0.0,100.0
Logista Italia,736.0,0.0,0.0,100.0
Logistica 93,736.0,0.0,0.0,100.0
Logistica 93 - L'Oréal,736.0,0.0,0.0,100.0
Logistica Uno,736.0,0.0,0.0,100.0
Logistics Services Europe Lyon,736.0,0.0,0.0,100.0
Logistika,736.0,0.0,0.0,100.0
Logistique Alaine SAS,736.0,0.0,0.0,100.0
Logistique Alainé,736.0,0.0,0.0,100.0
Logiters Logistica,736.0,0.0,0.0,100.0
MARS LOGISTICS,736.0,0.0,0.0,100.0
MAS Logistics,736.0,0.0,0.0,100.0
MICHEL LOGISTIQUE - TRANSALLIANCE,736.0,0.0,0.0,100.0
MONTANE LOGISTIQUE,736.0,0.0,0.0,100.0
MOVUS LOGISTICS France,736.0,0.0,0.0,100.0
MTO Logistics Limited,736.0,0.0,0.0,100.0
MTS Logistics,736.0,0.0,0.0,100.0
MUTUAL LOGISTICS TRS,736.0,0.0,0.0,100.0
Mas Logistic,736.0,0.0,0.0,100.0
Mazet Logistique,736.0,0.0,0.0,100.0
McGregor Logistics Limited,736.0,0.0,0.0,100.0
"Mercedes-Benz
Parts Logistics Uk
Limited",736.0,0.0,0.0,100.0
Metro Logistics Germany GmbH,736.0,0.0,0.0,100.0
Mirka Belgium Logistics N.V. - Unit 6+7,736.0,0.0,0.0,100.0
Modus Logistica,736.0,0.0,0.0,100.0
Multilogistic,736.0,0.0,0.0,100.0
Multilogistics,736.0,0.0,0.0,100.0
Müller - Lila Logistik AG,736.0,0.0,0.0,100.0
"Nacex, ID Logistics,
FedEx, DB Schenker,
Eroski",736.0,0.0,0.0,100.0
Naeko Logistics,736.0,0.0,0.0,100.0
Nightline Logistics Group,736.0,0.0,0.0,100.0
Nordfleet Logistik und Service GmbH,736.0,0.0,0.0,100.0
Normandie Logistique,736.0,0.0,0.0,100.0
Nunner Logistics Venlo B.V.,736.0,0.0,0.0,100.0
OBS Logistics Ltd.,736.0,0.0,0.0,100.0
Odin Warehousing & Logistics B.V.,736.0,0.0,0.0,100.0
Ohlsson & Wahlkvist Service AB,736.0,0.0,0.0,85.71
Ontime LOGISTICA INTEGRAL,736.0,0.0,0.0,100.0
Otif Logistics,736.0,0.0,0.0,100.0
POD Logistics,736.0,0.0,0.0,100.0
PR Logistics,736.0,0.0,0.0,100.0
PRINTEMPS LOGISTIQUE,736.0,0.0,0.0,100.0
Pall Å Logistik Ltd UK Filial,736.0,0.0,0.0,100.0
Quick Service Logistics,736.0,0.0,0.0,100.0
Quickly Logistics House,736.0,0.0,0.0,100.0
RHENUS LOGISTICS,736.0,0.0,0.0,100.0
RICO Logistics LTD sp. z o.o.,736.0,0.0,0.0,100.0
RS Logistica,736.0,0.0,0.0,100.0
RT LOGISTIQUE,736.0,0.0,0.0,100.0
Realogistic,736.0,0.0,0.0,100.0
Reichhart Logistik GmbH,736.0,0.0,0.0,100.0
Reslogistics,736.0,0.0,0.0,100.0
Rhenus Freight Logistics,736.0,0.0,0.0,100.0
Rhenus Logistics,736.0,0.0,0.0,100.0
Rohlig SUUS Logistics S.A.,736.0,0.0,0.0,100.0
Rudolph Logistik GmbH,736.0,0.0,0.0,100.0
SCIACQUA LOGISTIQUE,736.0,0.0,0.0,100.0
SDA Logistics,736.0,0.0,0.0,100.0
SED LOGISTIQUE,736.0,0.0,0.0,100.0
SEKO Logistics,736.0,0.0,0.0,100.0
SEKO Logistics (London) Ltd,736.0,0.0,0.0,100.0
SESE Logistics,736.0,0.0,0.0,100.0
SMCP Logistique,736.0,0.0,0.0,100.0
SNEL Shared Logistics,736.0,0.0,0.0,100.0
SOMAUDEX Logistics SAS,736.0,0.0,0.0,100.0
SOTRADEL LOGISTIQUE,736.0,0.0,0.0,100.0
SPI LOGISTIC,736.0,0.0,0.0,100.0
SPI LOGISTICS (l'Oreal),736.0,0.0,0.0,100.0
STI Logistics,736.0,0.0,0.0,100.0
Salvensen Logistics (Danone),736.0,0.0,0.0,100.0
Salvesen Logistica,736.0,0.0,0.0,100.0
Scerni Logistics,736.0,0.0,0.0,100.0
"Seko Logistics
(London) Ltd",736.0,0.0,0.0,100.0
Servizi Logistici / Plurima,736.0,0.0,0.0,100.0
Skill logistics,736.0,0.0,0.0,100.0
Skipper Logistique,736.0,0.0,0.0,100.0
Stock House Logistica Italia,736.0,0.0,0.0,100.0
Streamline Logistics Limited,736.0,0.0,0.0,100.0
TAYLORMADE LOGISTICS,736.0,0.0,0.0,100.0
TOP Logistics BV,736.0,0.0,0.0,100.0
Tailormade Logistics,736.0,0.0,0.0,100.0
TechnoCargo Logistics,736.0,0.0,0.0,100.0
Tiemex Logistic Services,736.0,0.0,0.0,100.0
